TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,nan,nan,nan,nan,4.2539
2,300,nan,nan,nan,nan,4.2678
2,300,nan,nan,nan,nan,4.2816
2,300,nan,nan,nan,nan,4.2955
2,300,nan,nan,nan,nan,4.3093
2,300,nan,nan,nan,nan,4.3232
2,300,nan,nan,nan,nan,4.3371
2,300,nan,nan,nan,nan,4.3509
2,300,nan,nan,nan,nan,4.3648
2,300,nan,nan,nan,nan,4.3786
2,300,nan,nan,nan,nan,4.3925
2,300,nan,nan,nan,nan,4.4063
2,300,nan,nan,nan,nan,4.4202
2,300,nan,nan,nan,nan,4.4341
2,300,nan,nan,nan,nan,4.4479
2,300,nan,nan,nan,nan,4.4618
2,300,nan,nan,nan,nan,4.4756
2,300,nan,nan,nan,nan,4.4895
2,300,nan,nan,nan,nan,4.5033
2,300,nan,nan,nan,nan,4.5172
2,300,nan,nan,nan,nan,4.531
2,300,nan,nan,nan,nan,4.5449
2,300,nan,nan,nan,nan,4.5588
2,300,nan,nan,nan,nan,4.5726
2,300,nan,nan,nan,nan,4.5865
2,300,nan,nan,nan,nan,4.6003
2,300,nan,nan,nan,nan,4.6142
2,300,nan,nan,nan,nan,4.628
2,300,nan,nan,nan,nan,4.6419
2,300,nan,nan,nan,nan,4.6558
2,300,nan,nan,nan,nan,4.6696
2,300,nan,nan,nan,nan,4.6835
2,300,nan,nan,nan,nan,4.6973
2,300,nan,nan,nan,nan,4.7112
2,300,nan,nan,nan,nan,4.725
2,300,nan,nan,nan,nan,4.7389
2,300,nan,nan,nan,nan,4.7527
2,300,nan,nan,nan,nan,4.7666
2,300,nan,nan,nan,nan,4.7805
2,300,nan,nan,nan,nan,4.7943
2,300,nan,nan,nan,nan,4.8082
2,300,nan,nan,nan,nan,4.822
2,300,nan,nan,nan,nan,4.8359
2,300,nan,nan,nan,nan,4.8497
2,300,nan,nan,nan,nan,4.8636
2,300,nan,nan,nan,nan,4.8775
2,300,nan,nan,nan,nan,4.8913
2,300,nan,nan,nan,nan,4.9052
2,300,nan,nan,nan,nan,4.919
2,300,nan,nan,nan,nan,4.9329
2,300,nan,nan,nan,nan,4.9467
2,300,nan,nan,nan,nan,4.9606
2,300,nan,nan,nan,nan,4.9745
2,300,nan,nan,nan,nan,4.9883
